id,name,sex,type,term_of_office,prior_role,after_role,party,medium_type,cabinet,medium,ministry,state
35d,Christian Betz,1,1,2025 bis jetzt,"1, 2, 5",NA,NA,"1, 2",NA,"ZDF, SZ, BUNTE, 3Sat, Sat1, Focus TV","Wissenschaft, Kunst",ba
36d,Philipp Spörlein,1,1,2021 bis jetzt,5,NA,NA,NA,NA,NA,"Wissenschaft, Kunst",ba
37d,Helena Barsig,2,1,NA,NA,NA,NA,NA,NA,NA,"Wissenschaft, Kunst",ba
38d,"Wissenschaft, Kunst",NA,2,NA,NA,NA,NA,NA,NA,NA,"Wissenschaft, Kunst",ba
39d,Dennis Drescher,1,1,2020 bis jetzt,6,NA,NA,NA,NA,NA,Finanz und Heimat,ba
40d,Marie-Therese Kummer,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat,ba
41d,Wolfgang Zahn,1,1,2020 bis jetzt,"4, 5",NA,NA,NA,NA,NA,Finanz und Heimat,ba
42d,Christina Fröhlich,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat,ba
43d,Morena Brunner,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat,ba
44d,Nicole Miller,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat,ba
45d,Sandra Kendel,2,1,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat,ba
46d,Dr. Stefanie Baur-Rückert,2,1,2017 bis 2019,"3, 4, 5, 6",5,NA,NA,NA,NA,Finanz und Heimat,ba
48d,Finanz und Heimat,NA,2,NA,NA,NA,NA,NA,NA,NA,Finanz und Heimat,ba
49d,Jürgen Marks,1,1,2019 bis jetzt,2,NA,NA,2,NA,"Augsburger Allgemeine, Focus Online, Focus Magazin, Die Welt, Berliner Morgenpost, Emder Zeitung","Wirtschaft, Landesentwicklung und Energie",ba
50d,Aaron Gottardi,1,1,2019 bis jetzt,"4, 5",NA,NA,NA,NA,NA,"Wirtschaft, Landesentwicklung und Energie",ba
51d,Dr. Aneta Ufert,2,1,2021 bis jetzt,"5, 6",NA,NA,NA,NA,NA,"Wirtschaft, Landesentwicklung und Energie",ba
52d,Tanja Gabler,2,1,2020 bis jetzt,"2, 4, 5",NA,NA,2,NA,"Internet World Business, Focus Digital, Münchner Merkur","Wirtschaft, Landesentwicklung und Energie",ba
53d,Franziska Meinl,2,1,2024 bis jetzt,4,NA,NA,NA,NA,NA,"Wirtschaft, Landesentwicklung und Energie",ba
54d,Bastian Brummer,1,1,2024 bis jetzt,"2, 5",NA,NA,2,NA,Mayer & Söhne Druck- und Mediengruppe GmbH & Co. KG,"Wirtschaft, Landesentwicklung und Energie",ba
55d,Katrin van Randenborgh,2,1,2014 bis 2018,"2, 6",4,NA,2,NA,Focus Magazin,"Wirtschaft, Landesentwicklung und Energie",ba
56d,Florian Baumann,1,1,2015 bis 2018,"1, 2. 5","4, 5, 6",NA,"1,2",NA,"SZ, BR","Wirtschaft, Landesentwicklung und Energie",ba
57d,Thomas Assenbrunner,1,1,2020 bis 2023,"2, 5, 6",4,NA,2,NA,"Eurosport, Sky, Donaukurier","Wirtschaft, Landesentwicklung und Energie",ba
58d,Karl Ilgenfritz,1,1,2019 bis 2023,"3, 5, 6",5,NA,NA,NA,NA,"Wirtschaft, Landesentwicklung und Energie",ba
59d,Angela Back,2,1,2017 bis 2021,"2, 5",6,NA,2,NA,"Mediengruppe Main-Post GmbH, Radio PrimaTon","Wirtschaft, Landesentwicklung und Energie",ba
60d,"Wirtschaft, Landesentwicklung und Energie",NA,2,NA,NA,NA,NA,NA,NA,NA,"Wirtschaft, Landesentwicklung und Energie",ba
61d,Dr. Thomas Marzahn,1,1,NA,NA,NA,NA,NA,NA,NA,Umwelt und Verbraucherschutz,ba
62d,Christina Centner,2,1,NA,NA,NA,NA,NA,NA,NA,Umwelt und Verbraucherschutz,ba
63d,Veronika Seitz,2,1,NA,NA,NA,NA,NA,NA,NA,Umwelt und Verbraucherschutz,ba
64d,Corinna Specker,2,1,2021 bis jetzt,5,NA,NA,NA,NA,NA,Umwelt und Verbraucherschutz,ba
65d,Umwelt und Verbraucherschutz,NA,2,NA,NA,NA,NA,NA,NA,NA,Umwelt und Verbraucherschutz,ba
66d,Franz Stangl,1,1,2020 bis jetzt,6,NA,NA,NA,NA,NA,"Ernährung, Landwirtschaft, Forst, Tourismus",ba
67d,Simon Springer,1,1,NA,NA,NA,NA,NA,NA,NA,"Ernährung, Landwirtschaft, Forst, Tourismus",ba
68d,Katharina Mader,2,1,2021 bis jetzt,"4, 5",NA,NA,NA,NA,NA,"Ernährung, Landwirtschaft, Forst, Tourismus",ba
69d,Martin Hecht,1,1,2004 bis 2024,2,6,NA,2,NA,"Report Wirtschaftsmagazin, Landshuter Zeitung, Heinrich Bauer Verlag, Gong Verlag","Ernährung, Landwirtschaft, Forst, Tourismus",ba
70d,"Ernährung, Landwirtschaft, Forst, Tourismus",NA,2,NA,NA,NA,NA,NA,NA,NA,"Ernährung, Landwirtschaft, Forst, Tourismus",ba
71d,Hans Moritz,1,1,2024 bis jetzt,"2, 5",NA,NA,2,NA,"Münchner Merkur TZ, Isar-Loisachbote, Murnauer Tagblatt, Tölzer Kurier","Familie, Arbeit und Soziales",ba
72d,Beryll Kunert,2,1,2020 bis jetzt,"2, 4",NA,NA,2,NA,PNP,"Familie, Arbeit und Soziales",ba
73d,Katrin Mulzer,2,1,2021 bis jetzt,"2, 4",NA,NA,2,NA,NA,"Familie, Arbeit und Soziales",ba
74d,Hanni Kinadeter,2,1,NA,NA,NA,NA,NA,NA,NA,"Familie, Arbeit und Soziales",ba
75d,Marion Gehlert,2,1,2015 bis jetzt,2,NA,NA,2,NA,"München TV, Sat1","Familie, Arbeit und Soziales",ba
76d,Sebastian Kraft,1,1,2020 bis 2024,"1, 6",6,Union,1,NA,"ARD, BR, ZDF","Familie, Arbeit und Soziales",ba
77d,"Familie, Arbeit und Soziales",NA,2,NA,NA,NA,NA,NA,NA,NA,"Familie, Arbeit und Soziales",ba
78d,Jörg Säuberlich,1,1,2014 bis jetzt,NA,NA,NA,NA,NA,NA,"Gesundheit, Pflege und Prävention",ba
79d,Bettina Dobe,2,1,2022 bis jetzt,"2, 3, 4, 6",NA,NA,2,NA,"SZ, Münchner Merkur, Wort und Bild Verlag","Gesundheit, Pflege und Prävention",ba
80d,Marinus Riedl,1,1,2023 bis jetzt,"1, 2",NA,NA,"1, 2",NA,"BR, OVB24, München Live TV, SAT1","Gesundheit, Pflege und Prävention",ba
81d,Sarah Gairing,2,1,2025 bis jetzt,"2, 4, 5",NA,NA,2,NA,"ARTE, UTOPIA","Gesundheit, Pflege und Prävention",ba
82d,Stefanie Nejedlo,2,1,NA,3,NA,Union,NA,NA,NA,"Gesundheit, Pflege und Prävention",ba
83d,Thomas Körbel,1,1,2020 bis jetzt,"2, 6",NA,NA,2,NA,"dpa, Agence France Presse","Gesundheit, Pflege und Prävention",ba
84d,Udo Lippert,1,1,2024 bis jetzt,"4, 5",NA,NA,NA,NA,NA,"Gesundheit, Pflege und Prävention",ba
85d,Margarete Beck,2,1,2014 bis jetzt,NA,NA,NA,NA,NA,Na,"Gesundheit, Pflege und Prävention",ba
86d,Julius Müller,1,1,2020 bis 2024,NA,6,NA,NA,NA,NA,"Gesundheit, Pflege und Prävention",ba
87d,Sabine Grüneberg,2,1,2018 bis 2021,"1, 2, 4","4, 6",NA,"1, 2",NA,"Handelsblatt, ZDF, RTL","Gesundheit, Pflege und Prävention",ba
88d,Verena Emmer,2,1,2013 bis jetzt,"1, 2, 5",NA,NA,"1, 2",NA,"Hubert Burda, Saarländischer Rundfunk, Garmisch Patenkirchner Tagblatt, BR, Augsburger Allgemeine","Gesundheit, Pflege und Prävention",ba
89d,Ute Möller,2,1,2021 bis 2021,2,"2, 3",Grüne,2,NA,"Verlag Nürnberger Presse, Flamingo und Dosenbier.de","Gesundheit, Pflege und Prävention",ba
90d,Henning Brinkmann,1,1,2021 bis 2023,"2, 6",6,NA,2,NA,MDHL,"Gesundheit, Pflege und Prävention",ba
91d,Dr. Harald Heckl,1,1,2024 bis 2024,"2, 4","2, 5",NA,2,NA,"Bistum Eichstätt, Katholische Universität Eichstätt-Ingolstadt","Gesundheit, Pflege und Prävention",ba
92d,"Gesundheit, Pflege und Prävention",NA,2,NA,NA,NA,NA,NA,NA,NA,"Gesundheit, Pflege und Prävention",ba
93d,Maximilian Mittereder,1,1,2024 bis jetzt,"3, 4, 5",NA,NA,NA,NA,NA,Digitales,ba
94d,Quirin Zallinger,1,1,2018 bis 2020,6,6,NA,NA,NA,NA,Digitales,ba
95d,Hans Oberberger,1,1,2020 bis 2024,"2, 3",NA,NA,2,NA,Antenne Bayern,Digitales,ba
96d,Ludwig Reicherstorfer,1,1,2022 bis 2023,"3, 5, 6",6,NA,NA,NA,NA,Digitales,ba
97d,Digitales,NA,2,NA,NA,NA,NA,NA,NA,NA,Digitales,ba
98d,Natascha Grünpeter,2,1,2015 bis 2018,6,6,NA,NA,"Seehofer2, Söder1",NA,Staatskanzlei,ba
99d,Wolfgang Wittl,1,1,2020 bis jetzt,2,NA,NA,2,"Söder2, Söder3",SZ,Staatskanzlei,ba
100d,Tanja Sterian,2,1,2018 bis jetzt,"2, 3, 6",NA,Union,2,"Söder2, Söder3","Union Report, Franken TV",Staatskanzlei,ba
101d,Dr. Eva-Maria Unger,2,1,NA,NA,NA,NA,NA,"Söder2, Söder3",NA,Staatskanzlei,ba
102d,Sebastian Dorn,1,1,2019 bis jetzt,"2, 6",NA,Union,2,"Söder2, Söder3","Münchner Zeitungs-Verlag GmbH & Co. KG, Zeitungsverlag Oberbayern GmbH & Co. KG",Staatskanzlei,ba
103d,Volker Elerkmann,1,1,2019 bis jetzt,"4, 6",NA,NA,NA,"Söder2, Söder3",NA,Staatskanzlei,ba
104d,Dr. Boris Niklas,1,1,2019 bis jetzt,"3, 5",NA,NA,NA,"Söder2, Söder3",NA,Staatskanzlei,ba
105d,Dr. Anton Preis,1,1,2019 bis jetzt,"2, 5, 6",NA,NA,2,"Söder2, Söder3","Verlagsgruppe Straubinger Tagblatt/Landshuter Zeitung, Zeitschrift für Controlling und Management",Staatskanzlei,ba
106d,Rainer Riedel,1,1,2008 bis 2020,3,NA,NA,NA,"Seehofer1, Seehofer2, Söder1, Söder2",NA,Staatskanzlei,ba
107d,Hannah-Sophie Aures,2,1,2022 bis 2024,5,5,NA,NA,"Söder2, Söder3",NA,Staatskanzlei,ba
108d,Staatskanzlei,NA,2,NA,NA,NA,NA,NA,Söder3,NA,Staatskanzlei,ba
109d,Caroline Kubon,2,1,2020 bis jetzt,1,NA,NA,1,"Söder2, Söder3","NDR, ARD",Bayrischer Landtag,ba
110d,Alice Marina Hensel,2,1,2014 bis jetzt,5,NA,NA,NA,"Seehofer2, Söder1, Söder2, Söder3",NA,Bayrischer Landtag,ba
111d,Peter Ringlstetter,1,1,NA,NA,NA,NA,NA,NA,NA,Bayrischer Landtag,ba
112d,Sonja Mutke,2,1,NA,NA,NA,NA,NA,NA,NA,Bayrischer Landtag,ba
113d,Eric Markuse,1,1,2018 bis jetzt,"1, 2, 6",NA,NA,"1, 2","Söder2, Söder3","Morgenpost Verlag GmbH, MDR, Axel Springer",Bayrischer Landtag,ba
114d,Bastian Karl,1,1,2019 bis jetzt,2,NA,NA,2,"Söder2, Söder3","Niederbayern TV, Bistum Passau, Bild, Axel Springer",Bayrischer Landtag,ba
115d,Bayrischer Landtag,NA,2,NA,NA,NA,NA,NA,NA,NA,Bayrischer Landtag,ba
116d,Kabinett Seehofer1,NA,4,2008 bis 2013,NA,NA,Union,NA,Seehofer1,NA,NA,ba
117d,Kabinett Seehofer2,NA,4,2013 bis 2018,NA,NA,Union,NA,Seehofer2,NA,NA,ba
118d,Kabinett Söder1,NA,4,2018 bis 2018,NA,NA,Union,NA,Söder1,NA,NA,ba
119d,Kabinett Söder2,NA,4,2018 bis 2023,NA,NA,Union,NA,Söder2,NA,NA,ba
120d,Kabinett Söder3,NA,4,2023 bis jetzt,NA,NA,Union,NA,Söder3,NA,NA,ba
122d,Berliner Morgenpost,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
123d,intv,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
124d,Oberpfalz TV,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
125d,TVA Ostbayern,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
126d,ProSiebenSat.1 Media,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
128d,Münchner Merkur,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
130d,IHK Schwaben,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
131d,Springer Fachmedien München,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
133d,Hubert Burda,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
134d,Mediengruppe Pressedruck,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
135d,Emder Zeitung Verlag,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
136d,Internet World Business,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
137d,Mayer & Söhne Druck- und Mediengruppe GmbH & Co. KG,Na,3,NA,NA,NA,NA,2,NA,NA,NA,NA
138d,Wort und Bild Verlag,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
139d,OVB24,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
140d,München TV,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
141d,ARTE,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
142d,Deutsche Druck- und Verlagsgesellschaf,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
144d,Agence France Presse,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
145d,Union Deutsche Verlagsgesellschaft,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
146d,Franken TV,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
148d,Mediengruppe Bayern GmbH,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
149d,Mediengruppe Attenkofer,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
150d,Sky Deutschland,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
151d,Eurosport,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
152d,Radio PrimaTon,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
153d,Report Wirtschaftsmagazin,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
154d,Bauer Media Group,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
155d,Funke Mediengruppe,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
158d,Saarländischer Rundfunk,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
159d,Verlag Nürnberger Presse,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
160d,MDHL,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
161d,Antenne Bayern,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
162d,Springer Fachmedien Wiesbaden,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
163d,Niederbayern TV,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
164d,MDR,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
loz,Lokalzeitungen,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
lor,Lokalradio,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
ard,ARD,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
zdf,ZDF,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
sz,Süddeutsche Zeiung,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
taz,Taz,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
dsp,Spiegel,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
dpa,Deutsche Presse Agentur,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
rnd,Redaktionsnetzwerk Deutschland,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
hbl,Handelsblatt,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
axsp,Axel Springer,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
rtl,RTL,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
foc,Focus,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
az,Abendzeitung,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
br,BR,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
swr,SWR,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
rbb,RBB,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
wdr,WDR,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
spd,SPD,NA,5,NA,NA,NA,SPD,NA,NA,NA,NA,NA
union,Union,NA,5,NA,NA,NA,Union,NA,NA,NA,NA,NA
gruene,Grüne,NA,5,NA,NA,NA,Grüne,NA,NA,NA,NA,NA
fdp,FDP,NA,5,NA,NA,NA,FDP,NA,NA,NA,NA,NA
bka,Bundeskanzleramt,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
sk,Stefan Kornelius,1,1,2025 bis jetzt,1,NA,NA,1,2,SZ,Bundeskanzleramt,b
k1,Kabinett 1 - Merkel,NA,4,2017 bis 2021,NA,NA,CDU,NA,1,NA,NA,b
k2,Kabinett 2 - Merz,NA,4,2025 bis jetzt,NA,NA,CDU,NA,2,NA,NA,b
k3,Kabinett 3 - Scholz,NA,4,2021 bis 2025,NA,NA,SPD,NA,3,NA,NA,b
sm,Steffen Meyer,1,1,2025 bis jetzt,3,NA,SPD,NA,2,NA,Bundeskanzleramt,b
bmvg,Bundesministerium für Verteidigung,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
ms,Michael Stempfle,1,1,2023 bis jetzt,1,NA,SPD,1,2,ARD,Bundesministerium für Verteidigung,b
mm,Mitko Müller,1,1,2025 bis jetzt,5,NA,NA,NA,2,NA,Bundesministerium für Verteidigung,b
aa,Auswärtiges Amt,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
kd,Kathrin Deschauer,2,1,2025 bis jetzt,4,NA,NA,NA,2,NA,Auswärtiges Amt,b
mg,Martin Giese,1,1,2025 bis jetzt,4,NA,NA,NA,2,NA,Auswärtiges Amt,b
bmi,Bundesministerium für Inneres,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
sf,Sarah Frühauf,2,1,2025 bis jetzt,1,NA,NA,1,2,"ARD, MDR",Bundesministerium für Inneres,b
sko,Sonja Kock,2,1,2025 bis jetzt,4,NA,NA,NA,2,NA,Bundesministerium für Inneres,b
bmf,Bundesministerium für Finanzen,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
mk,Maximilian Kall,1,1,2025 bis jetzt,3,NA,NA,NA,2,NA,Bundesministerium für Finanzen,b
al,Alma Laiadhi,2,1,2025 bis jetzt,5,NA,NA,NA,2,NA,Bundesministerium für Finanzen,b
bmwe,Bundesministerium für Wirtschaft,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
kw,Korbinian Wagner,1,1,2023 bis jetzt,4,NA,NA,NA,2,NA,Bundesministerium für Wirtschaft,b
su,Susanne Ungrad,2,1,2023 bis jetzt,3,NA,NA,NA,2,NA,Bundesministerium für Wirtschaft,b
bmleh,"Bundesministerium für Landwirtschaft, Ernährung und Heimat",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
sb,Silke Brandt,2,1,2025 bis jetzt,1,NA,NA,1,2,"n-tv, Deutsche Welle, BR","Bundesministerium für Landwirtschaft, Ernährung und Heimat",b
fp,Felix Poetschke,1,1,2025 bis jetzt,4,NA,Die Grünen,NA,2,NA,"Bundesministerium für Landwirtschaft, Ernährung und Heimat",b
bmz,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
ld,Lena Daldrup,2,1,2025 bis jetzt,3,NA,SPD,NA,2,NA,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,b
aab,Aline Abboud,2,1,2025 bis jetzt,1,NA,NA,1,2,"ARD, ZDF",Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,b
bmjv,Bundesministerium für Justiz und Verwaltung,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
jc,Julia Camerer,2,1,2025 bis jetzt,1,NA,SPD,1,2,"Bild, n-tv, ARD, rbb",Bundesministerium für Justiz und Verbraucherschutz,b
eh,Eike Hosemann,1,1,2025 bis jetzt,3,NA,CDU,NA,2,NA,Bundesministerium für Justiz und Verbraucherschutz,b
bmv,Bundeministerium für Verkehr,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
gl,Georg Link,1,1,2025 bis jetzt,1,NA,CDU,1,2,SWR,Bundesministerium für Verkehr,b
jb,Johannes Blankenheim,1,1,2025 bis jetzt,4,NA,NA,NA,2,NA,Bundesministerium für Verkehr,b
bmg,Bundesministerium für Gesundheit,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
hb,Hannes Böckel,1,1,2025 bis jetzt,3,NA,CDU,NA,2,NA,Bundesministerium für Gesundheit,b
sg,Sebastian Gülde,1,1,2025 bis jetzt,1,NA,NA,2,2,Helios Media,Bundesministerium für Gesundheit,b
hme,Helios Medien,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
bmu,"Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
nf,Nikolai Fichtner,1,1,2025 bis jetzt,"2,4",NA,NA,2,2,taz,"Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",b
ak,Andreas Kübler,1,1,2025 bis jetzt,NA,NA,NA,NA,2,NA,"Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",b
bmb,"Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
apf,Anja Pfeffermann,2,1,2025 bis jetzt,"4,6",NA,CDU,NA,2,NA,"Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend",b
dl,Dominik Lenz,1,1,2025 bis jetzt,NA,NA,NA,"1,2",2,"FAZ, rbb, Stimme Russlands und Zenith","Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend",b
faz,Frankfurter Allgemeine Zeitung,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
str,Stimme Russlands,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
ze,Zenith,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA
bmds,Bundesministerium für Digitales und Staatsmodernisierung,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
bk,Betty Kieß,2,1,2025 bis jetzt,"4,6",NA,CDU,NA,2,NA,Bundesministerium für Digitales und Staatsmodernisierung,b
fd,Florian Druckenthaner,1,1,2025 bis jetzt,"4,5,6",NA,NA,NA,2,NA,Bundesministerium für Digitales und Staatsmodernisierung,b
bmas,Bundesministerium für Arbeit & Soziales,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
ie,Irene Etzkorn,2,1,2025 bis jetzt,"2,6",NA,NA,2,2,Potsdamer Allgemeine,Bundesministerium für Arbeit & Soziales,b
ts,Tim Stoltenberg,1,1,2025 bis jetzt,5,NA,NA,NA,2,NA,Bundesministerium für Arbeit & Soziales,b
bmftr,"Bundesministerium für Forschung, Technologie und Raumfahrt",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,b
